,message,neutral-score,negative-score,positive-score,label
0,h a l o sorry but god idea is scam,0.356,0.368,0.276,Negative
1,badmans✝️,1.0,0.0,0.0,Neutral
2,yeah situation again,0.476,0.0,0.524,Positive
3,h a l o god idea is what created badness itself,0.53,0.0,0.47,Neutral
4,"it would be in your best interest to be holy. not everyone will accept this, therefore they don't live according to what is best for them.",0.618,0.061,0.32,Neutral
5,why???;),1.0,0.0,0.0,Neutral
6,im a hella of a pooper i tell ya,1.0,0.0,0.0,Neutral
7,masson na,1.0,0.0,0.0,Neutral
8,"agnostic each way bet , good for me",0.707,0.0,0.293,Neutral
9,all smart but this🇺🇸💪,0.73,0.0,0.27,Neutral
10,🍫,1.0,0.0,0.0,Neutral
11,i cleaned it up beforema woke up and made her morning coffee,1.0,0.0,0.0,Neutral
12,🤣🤣🤣🤣👎,0.584,0.0,0.416,Neutral
13,"h a l o best for themselfs ? that sound like a excuse to bring badness , you need to utilise the word peaceful if you want to talk because i dont trust the word best for themselfs , best can be bad",0.523,0.098,0.379,Neutral
14,hi,1.0,0.0,0.0,Neutral
15,no mask symbol:buffering:🇷🇺,0.476,0.524,0.0,Negative
16,"creation is complex, intricate, precise, calculated, has order and processes designed to function in a specific way. it's absurd to realise this and not believe in god's existence.",0.875,0.0,0.125,Neutral
17,hi raaj🖖😎,0.7,0.0,0.3,Neutral
18,protest alot but peacefully,0.247,0.185,0.568,Positive
19,it's best for everyone to be holy.,0.588,0.0,0.412,Neutral
20,today is black day indian crpf soldiers we lost our 40 soldiers 🙏🙏🇮🇳,0.867,0.133,0.0,Neutral
21,"nice try valentine , am cooking a very nice halal beef curry pie , i will b thinking of u",0.753,0.0,0.247,Neutral
22,farmers protest🇲🇨💪😎🇩🇪💨,0.75,0.0,0.25,Neutral
23,or at least try your best to be holy,0.656,0.0,0.344,Neutral
24,i from azerbaijan . kharabagh is azerbaijan,1.0,0.0,0.0,Neutral
25,"h a l o you are wrong , i can exist without badness",0.643,0.181,0.175,Neutral
26,military stop bullyng people,0.577,0.423,0.0,Neutral
27,iqbal farmers are gone home,1.0,0.0,0.0,Neutral
28,massons na🍫,1.0,0.0,0.0,Neutral
29,or the smell of that beef is melting my heart,0.682,0.0,0.318,Neutral
30,🇹🇷🇵🇰🇦🇿💪,1.0,0.0,0.0,Neutral
31,"military is kidnaping people , military terorist organisation",1.0,0.0,0.0,Neutral
32,raaj😎🇲🇨not need im netral🖖,0.75,0.0,0.25,Neutral
33,:stayhome:,1.0,0.0,0.0,Neutral
34,emad zak. i don't know about your heart condistion,0.656,0.0,0.344,Neutral
35,how goes the money market,1.0,0.0,0.0,Neutral
36,dondition,1.0,0.0,0.0,Neutral
37,watch out👀..!!...mutants feel emboldened again today👀..!!,1.0,0.0,0.0,Neutral
38,iqbal have you today news farmers gone home,1.0,0.0,0.0,Neutral
39,gay biological man being feminine . rubbish . you don't know anything about how social and material factors push individual persons to do what they do or become,1.0,0.0,0.0,Neutral
40,god and the angels know what you hide and what you know and what you imagine and what your intentions are. your deeds will be revealed to you in time. it's going to be a long day on that day.,0.909,0.041,0.05,Neutral
41,lol oh beef is so good to the heart very melting chewy beef ur missing out,0.481,0.088,0.431,Neutral
42,"ack jass and then explain instead of telling me i dont know , explain",1.0,0.0,0.0,Neutral
43,🦓,1.0,0.0,0.0,Neutral
44,where are you in india?...@filmi raaj,1.0,0.0,0.0,Neutral
45,but raaj yeah im water qanon😎💨🇲🇨,0.595,0.0,0.405,Neutral
46,lake city,1.0,0.0,0.0,Neutral
47,praise jesus he forgives me right,0.388,0.0,0.612,Positive
48,ack jass let yourself vulnerable and explain,0.759,0.241,0.0,Neutral
49,me i am always vulnerable,0.678,0.322,0.0,Neutral
50,i am from bangladesh,1.0,0.0,0.0,Neutral
51,indian name?...,1.0,0.0,0.0,Neutral
52,why you telling me this. you didn't bring any verse that mentions of return of jesus. u are angry with me.,0.858,0.142,0.0,Neutral
53,amen right brothers and sisters,1.0,0.0,0.0,Neutral
54,hi,1.0,0.0,0.0,Neutral
55,free myanmar(burma) free aung san suu kyi help me myanmar,0.429,0.0,0.571,Positive
56,free myanmar(burma) free aung san suu kyi help me myanmar,0.429,0.0,0.571,Positive
57,iqbal stop jocking😁,0.536,0.196,0.268,Neutral
58,impossible mission teacher 1 last3 mission everyday,1.0,0.0,0.0,Neutral
59,✝️,1.0,0.0,0.0,Neutral
60,i will bring u ur favorite be3ef,0.667,0.0,0.333,Neutral
61,beef,1.0,0.0,0.0,Neutral
62,free myanmar(burma) free aung san suu kyi help me myanmar,0.429,0.0,0.571,Positive
63,can i get an amen forbeing a big poooper,1.0,0.0,0.0,Neutral
64,yes✝️pases,0.426,0.0,0.574,Positive
65,in serbia everyone needs a shave,1.0,0.0,0.0,Neutral
66,bro my name is vikram singh rajput,1.0,0.0,0.0,Neutral
67,or u want some vedas's scandals sigment,0.526,0.337,0.137,Neutral
68,thunderstruck,1.0,0.0,0.0,Neutral
69,filmi raaj. sigmentwhy you telling me this. you didn't bring any verse that mentions of return of jesus. u are angry with me.,0.87,0.13,0.0,Neutral
70,free myanmar(burma) free aung san suu kyi help me myanmar,0.429,0.0,0.571,Positive
71,"there's just too many emotionally damaged people who take out their fustrations on others and don't treat themselves in a healthy way, it becomes a downward spiral.",0.753,0.162,0.085,Neutral
72,zak 👀..!!....juss shaddup👀..!!,1.0,0.0,0.0,Neutral
73,emad zak. no,0.476,0.524,0.0,Negative
74,sigment i am hindu,1.0,0.0,0.0,Neutral
75,u dont believe beef is good for u is that not in ur believ!!,0.789,0.0,0.211,Neutral
76,not a christian,1.0,0.0,0.0,Neutral
77,i know,1.0,0.0,0.0,Neutral
78,wow princess zonkey,0.345,0.0,0.655,Positive
79,free myanmar(burma) free aung san suu kyi help me myanmar save myanmar,0.39,0.0,0.61,Positive
80,beef ? stop telling me to be bad,0.513,0.487,0.0,Neutral
81,"hola, soy de chile y busco alguna versión en español de aljazeera, existe?",1.0,0.0,0.0,Neutral
82,zak 👀..!!...go eat your carcass and shaddup👀..!!,1.0,0.0,0.0,Neutral
83,eyes eat my socks when they ready am still wearing them,0.8,0.0,0.2,Neutral
84,it's difficult for those people to climb out of their pit of despair.,0.696,0.304,0.0,Neutral
85,beef adds up fats and u may have heart attack,0.523,0.203,0.275,Neutral
86,eyes eat my socks when they ready am still wearing them,0.8,0.0,0.2,Neutral
87,i think emanuel mercon that bad,0.588,0.412,0.0,Neutral
88,"so use your words carefully, you don't know how it will affect someone else.",0.897,0.0,0.103,Neutral
89,netral dog,1.0,0.0,0.0,Neutral
90,"i am in too much pain and tired due to what bad things people have done to me in this life, to explain or expand on what i comment or declare",0.692,0.249,0.059,Neutral
91,beef is good u dont know till u try and u will believe too,0.818,0.0,0.182,Neutral
92,"scaredcow, not sacred",1.0,0.0,0.0,Neutral
93,no one eats socks dude,0.645,0.355,0.0,Neutral
94,zak 👀..!!..your pride of eating carcasses is disgusting👀..!!,0.501,0.327,0.172,Neutral
95,eyes eat my socks when they ready am still wearing them,0.8,0.0,0.2,Neutral
96,trans hockey dem future,1.0,0.0,0.0,Neutral
97,i know brain all im water qanon,1.0,0.0,0.0,Neutral
98,eyes eat my socks when they ready am still wearing them,0.8,0.0,0.2,Neutral
99,iqbal nadia khan?,1.0,0.0,0.0,Neutral
100,beef steak is the best u dung eaters,0.625,0.0,0.375,Neutral
101,emad zak. why you telling me this. you didn't bring any verse that mentions of return of jesus. u are angry with me.,0.87,0.13,0.0,Neutral
102,yummmmy,1.0,0.0,0.0,Neutral
103,zak 👀..!!...you're spamming👀..!!,0.413,0.587,0.0,Negative
104,friend madrasati,0.238,0.0,0.762,Positive
105,geek zonkey skyscrappers,0.526,0.474,0.0,Neutral
106,dung was terribad jar ftw,0.571,0.0,0.429,Neutral
107,just let it go.,1.0,0.0,0.0,Neutral
108,posser check it out: debra,1.0,0.0,0.0,Neutral
109,whenn u eat beef u will see and u will believe,1.0,0.0,0.0,Neutral
110,demoncratic refaggican government,1.0,0.0,0.0,Neutral
111,eyes eat my socks when they ready am still wearing them,0.8,0.0,0.2,Neutral
112,us hut up u fool who are u?,0.707,0.293,0.0,Neutral
113,iqbal have you seen nadia khan in this live news channel,1.0,0.0,0.0,Neutral
114,i will not eat anyone's socks for sure,0.753,0.0,0.247,Neutral
115,hi,1.0,0.0,0.0,Neutral
116,u wil eat beef soon,1.0,0.0,0.0,Neutral
117,lol,0.0,0.0,1.0,Positive
118,i want ebola vaccine,0.698,0.0,0.302,Neutral
119,how come,1.0,0.0,0.0,Neutral
